doctor_id,day_of_week,start_time,end_time,duration_minutes
1,Saturday,11:00,19:00,30
2,Wednesday,09:30,17:00,30
3,Monday,09:00,19:00,30
4,Saturday,08:30,15:00,30
5,Monday,09:30,19:00,60
6,Thursday,10:00,16:00,60
7,Monday,08:00,15:00,60
8,Tuesday,08:00,18:00,60
9,Sunday,10:30,16:00,30
10,Saturday,10:00,16:00,30
11,Saturday,10:00,15:00,30
12,Wednesday,08:30,18:00,60
13,Tuesday,09:00,18:00,30
14,Wednesday,08:30,16:00,30
15,Monday,08:30,19:00,30
16,Monday,08:00,16:00,60
17,Tuesday,11:00,16:00,60
18,Monday,10:30,19:00,30
19,Saturday,08:00,18:00,60
20,Sunday,10:00,16:00,60
21,Saturday,08:30,15:00,30
22,Wednesday,11:00,16:00,30
23,Wednesday,09:00,19:00,60
24,Thursday,10:00,16:00,60
25,Sunday,10:00,17:00,60
26,Saturday,11:00,18:00,60
27,Friday,10:00,18:00,30
28,Tuesday,08:00,18:00,60
29,Monday,08:00,17:00,30
30,Friday,10:30,18:00,30
31,Monday,10:00,19:00,30
32,Saturday,08:30,15:00,30
33,Monday,09:30,15:00,60
34,Monday,08:30,15:00,60
35,Sunday,11:00,16:00,60
36,Thursday,08:00,18:00,30
37,Saturday,10:30,17:00,30
38,Saturday,08:30,16:00,30
39,Tuesday,10:00,18:00,30
40,Sunday,09:30,16:00,30
41,Monday,09:00,15:00,60
42,Friday,08:00,19:00,30
43,Monday,11:00,18:00,60
44,Thursday,10:30,15:00,30
45,Friday,10:30,16:00,60
46,Wednesday,09:30,16:00,60
47,Saturday,10:30,17:00,60
48,Sunday,10:30,18:00,60
49,Wednesday,10:30,19:00,30
50,Saturday,09:00,16:00,30
